User Name,Time,Tweet,User Location,Retweeted Count,Favorited Count,Replied
ebahizi1,2019-11-04 18:26:16,Medical students from the University of Rwanda who were set to miss their graduation this Friday have been cleared to g ,kigali/rwanda,20,0,NaN
Zackhare,2019-11-04 18:25:58,I am proud to announce my commitment to further my education and play Division 1 baseball at Elon University. Thank you t ,NaN,48,0,NaN
Dijzeltweet,2019-11-04 18:25:30,"    I have hope too, I have no choice...we have excellent people in  ",NaN,0,0,1191420198227709956
WahcaMia,2019-11-04 18:25:29,"Paula White is to religion what Trump University was to higher education:  a fraud.;;Paula White, Newest White House Aide, Is a ",On a Mountain Somewhere,6223,0,NaN
NoApp4Pedagogy,2019-11-04 18:24:27,When was the last time you interviewed for a job and they asked you for your GPA and which University you attended?  ,"Chicago, IL",0,4,NaN
itz_marmar,2019-11-04 18:24:07,admin officer;;Location: Abuja;;0-2 years. He/she must be very conversant with the use of social media;;Education: A unive , ,164,0,NaN
ferdigabaotswe,2019-11-04 18:22:54,Helen Since when are quotas anti-merit?;;If the minister of education were to order racist universities such as UFS &amp; ,Mafikeng,23,0,NaN
mbrinkerhoff,2019-11-04 18:22:14,Did the University of Texas go easy on the Texas Cowboys after a night of hazing and a student s death? ,DC   CA   UT   TX,0,1,NaN
JobVacanciesNig,2019-11-04 18:22:04,admin officer;;Location: Abuja;;0-2 years. He/she must be very conversant with the use of social media;;Education: A unive ,Nigeria,164,0,NaN
Guild_One_Inc,2019-11-04 18:22:01," All students will learn about fundamental Blockchain, DLT and smart contract concepts, aspects of the DLT business  ","Calgary, Alberta",1,2,NaN
ZaheerzE,2019-11-04 18:21:50,"Oh look, Imran Khan is equipping the next generation of poor people with almost free University education. ",Sydney  | Lahore  ,48,0,NaN
agabrielleg,2019-11-04 18:20:55,Extremely blessed to announce that I will be continuing my education and baseball career at the University Of Mary Har ,"austin,tx",23,0,NaN
junjudapi,2019-11-04 18:20:53,#AI education is a new attraction for students across the world! Time to open more #AI #Universities    ,Atlantic ocean,5,0,NaN
HeatherBurles,2019-11-04 18:19:47,Unacceptable. What a sad reflection on where we ve ended up as a society. We spend a lot of time talking about lack of resour ,Chilliwack BC Canada,1,0,NaN
xoxophia,2019-11-04 18:19:39,I am blessed and thankful to announce that I have committed to further my education and baseball career at the University ,on the diamond,41,0,NaN
hyprsense,2019-11-04 18:19:15,Working with creative #students is always exciting!   Chung-Ang University is utilizing our #education license  ,"Burlingame, CA",0,2,NaN
OloriAz,2019-11-04 18:19:10,admin officer;;Location: Abuja;;0-2 years. He/she must be very conversant with the use of social media;;Education: A unive ,Lagos,164,0,NaN
IsimbiTania,2019-11-04 18:18:06,Medical students from the University of Rwanda who were set to miss their graduation this Friday have been cleared to g ,Mu Rwanda rwa Gasabo,20,0,NaN
Dinnydavinci,2019-11-04 18:18:03,admin officer;;Location: Abuja;;0-2 years. He/she must be very conversant with the use of social media;;Education: A unive ,Nigeria,164,0,NaN
daniel_twesige,2019-11-04 18:17:51,"Parliament has learnt that due to tuition fees increment at Makerere University, about 1000 students have discontinued s ",Uganda,55,0,NaN
SoroptimistPtbo,2019-11-04 18:17:46,"It's Treaties Recognition Week. Learn more about the history of Canada's Treaties, including the Williams Treaties here i ","Peterborough Ontario, Canada",7,0,NaN
kamryn_faith,2019-11-04 18:17:29,Extremely blessed to announce that I will be continuing my education and baseball career at the University Of Mary Har ,Texas forever,23,0,NaN
Soulcookie15,2019-11-04 18:17:28,   Forgot to mention i can literally get a better education where i live and h  ,NaN,0,0,1191417757079879680
WolfsonCam,2019-11-04 18:17:04,"In this Thursday's  Education Society meeting,  will talk on ""V-Charged: Powering Up the World-Class Unive ",Cambridge,1,0,NaN
zonado_,2019-11-04 18:17:01,admin officer;;Location: Abuja;;0-2 years. He/she must be very conversant with the use of social media;;Education: A unive ,Nigeria,164,0,NaN
StineWhitlock,2019-11-04 18:16:58,Come playtest new resources and simulations for teacher education and professional development! The next  playtest is Nov ,Boston,1,0,NaN
CopperbeltThe,2019-11-04 18:16:41,"Like this year, K557million kwacha has been put aside in the 2020 budget for bursaries and loan schemes to support increas ","Copperbelt, Zambia",6,0,NaN
ok_ish,2019-11-04 18:16:37,"Dr Mbuyiseni Quintin Ndlozi is a South African politician. ;Born: May 9, 1985 (age 34 years), Gauteng, South Africa;Other na ",in your face,5,0,NaN
tomjbrenner,2019-11-04 18:16:23," Meet a student over the weekend and school and education came up,Germany also,students attend university for free.",currently roaming Canada ,0,0,1190902806242304000
bnotestine,2019-11-04 18:16:22,Harvard University and the purpose of higher education.;;,NORCAL,3,0,NaN
ayodejiarizona,2019-11-04 18:16:14,admin officer;;Location: Abuja;;0-2 years. He/she must be very conversant with the use of social media;;Education: A unive ,Lagos Nigeria ,164,0,NaN
Shanulqadir,2019-11-04 18:16:12,"Oh look, Imran Khan is equipping the next generation of poor people with almost free University education. ","Sialkot, Pakistan",48,0,NaN
aftab_pti,2019-11-04 18:16:03,A great many students have had to quit education or leave their desired field of study just b/c they can t afford unive ,karak,7,0,NaN
hanit001,2019-11-04 18:15:47,admin officer;;Location: Abuja;;0-2 years. He/she must be very conversant with the use of social media;;Education: A unive ,"Lagos, Nigeria",164,0,NaN
LadyLovesBats,2019-11-04 18:15:45,A  student died after a Texas Cowboys retreat where recruits were hazed. The univ let the student org operate wi ,NaN,26,0,NaN
juwon_Catalyst,2019-11-04 18:15:29,admin officer;;Location: Abuja;;0-2 years. He/she must be very conversant with the use of social media;;Education: A unive ,Earth,164,0,NaN
SothanJohana,2019-11-04 18:15:27,"Free Education University &gt;&gt; How to get grants for trade or vocational school, community colleges, or a university  ","Secaucus, NJ",0,0,NaN
MBTSOnline,2019-11-04 18:15:16,For The Church Micro-Conference ;November 17th | 8-9PM;;Join us at  for a discussion on Theological Education and the Chr ,"Kansas City, MO",5,0,NaN
Mrsub_inmate,2019-11-04 18:14:59,True findom is your submissive ass sending for this online course I m doing to further My education even more than My curre ,United States,4,0,NaN
SAFECampusesLLC,2019-11-04 18:14:55,How the University of Utah s police department treated female victims and officers for years before Lauren McCluskey s ,NaN,2,0,NaN
AshasSoomro,2019-11-04 18:14:52,A great many students have had to quit education or leave their desired field of study just b/c they can t afford universi ,NaN,116,0,NaN
fortisetfidelis,2019-11-04 18:14:32,I had the privilege of being in class with Ed this past year. EP-ADS Grad Student Joins Network of Doctoral Scholar  ,Virginia,0,0,NaN
CleryActInfo,2019-11-04 18:14:12,How the University of Utah s police department treated female victims and officers for years before Lauren McCluskey s ,"Washington, DC",2,0,NaN
RobertsJCPress,2019-11-04 18:13:34,"A Quillen College of Medicine graduate and former local physician died in a plane crash in Kentucky on Thursday night, ac ","Johnson City, TN",1,0,NaN
NaeemAshraf82,2019-11-04 18:13:02,"Oh look, Imran Khan is equipping the next generation of poor people with almost free University education. ","Karachi, Pakistan",48,0,NaN
say3_s,2019-11-04 18:12:57," This should be front and centre and MANDATORY education in Canada.;New citizens too, need to be taught the ",Canada,2,0,NaN
FMO_Fed,2019-11-04 18:12:14,"Would a more educated population rejected Brexit?; Only a quarter of Britons with a university degree voted Leave,  "," London, UK",0,0,NaN
marcoscarrion8,2019-11-04 18:12:13,Extremely blessed to announce that I will be continuing my education and baseball career at the University Of Mary Har ,NaN,23,0,NaN
UniLUISS,2019-11-04 18:11:40,"The Italian Minister of Education, University and Research  answers some questions about social scienc  ",Roma,1,1,NaN
fhenryfj2019,2019-11-04 18:11:21,"Opposition Spokesman on Education, Peter Bunting says the government should now move away from funding institutions an ",NaN,11,0,NaN
nbstv,2019-11-04 18:11:06,The group was appearing before the Education Committee of Parliament that is scrutinizing the ongoing strike at Mak  ,Uganda,0,5,1191417543292010496
ArkangelScrap,2019-11-04 18:10:52,World's First #AI University Has More Than 3200 Applicants Already   #education ,France,10,0,NaN
SimonPeterSDG,2019-11-04 18:10:47,"Pope Francis to university leaders: Education is  not only a matter of filling the mind with concepts,  but using  languages ",NaN,4,0,NaN
LJaneMcConnell,2019-11-04 18:10:42,"""I don't believe that education should continue to be compartmentalized... that's not the way the real world works, but it's th ","Indianapolis, IN",2,0,NaN
Baba_Random,2019-11-04 18:10:37, Smh. Upon your University education,Nigeria,0,0,1191415238018646016
ProducerCities,2019-11-04 18:10:06,"""In 1876, the Texas Constitution set aside land in West Texas to support The University of Texas and Texas A&amp;M syst  ",NaN,0,0,NaN
AttaKak68420024,2019-11-04 18:09:15,A great many students have had to quit education or leave their desired field of study just b/c they can t afford universi ,Balochistan,116,0,NaN
kevinb16199864,2019-11-04 18:08:48,"In 2010 Scottish MP &amp;  Leader  Voted for raising England s undergraduate tuition fee cap to  9,000 p ",NaN,13,0,NaN
Ma_Mick_,2019-11-04 18:08:32,"Paula White is to religion what Trump University was to higher education:  a fraud.;;Paula White, Newest White House Aide, Is a ",United States of America,6223,0,NaN
AyshaHaroon,2019-11-04 18:08:29,"Oh look, Imran Khan is equipping the next generation of poor people with almost free University education. ",NaN,48,0,NaN
liv_brenn,2019-11-04 18:08:15,How the University of Utah s police department treated female victims and officers for years before Lauren McCluskey s ,"Utah, USA",78,0,NaN
PSUPresident,2019-11-04 18:08:09,"Please join us in celebrating the 50th anniversary of PSU's University Honors College, a leader in educating first-  ","Portland, OR",0,0,NaN
ranaomer,2019-11-04 18:08:06,A great many students have had to quit education or leave their desired field of study just b/c they can t afford unive ,Bahrain,7,0,NaN
OgaMaestro,2019-11-04 18:07:57,"1. Shell Nursery and Primary School, Port-Harcourt.;;2. Queen's Choice, Ikotun, Lagos. ;;3. Estaport Nursery and Primary ","Lagos, Nigeria",1,0,NaN
sdccampussafety,2019-11-04 18:07:48,How the University of Utah s police department treated female victims and officers for years before Lauren McCluske  ,"Thomson, GA",2,1,NaN
rod_earle,2019-11-04 18:07:44,"Policy Press | Degrees of Freedom - Prison Education at The Open University, By Rod Earle and James Mehigan ",Milton Keynes,11,0,NaN
Osumareton,2019-11-04 18:07:24,"Honestly I believe I really developed my EQ, SQ and AQ in University. I don't give them enough credit for this but  ",NaN,0,1,NaN
gridironarizona,2019-11-04 18:07:08,"Thank you  and the  program for the amazing opportunity to continue my education, as well as play ",Arizona,1,0,NaN
ensembleVideo,2019-11-04 18:06:39,Choosing a video management platform for your university isn't easy. ;;If you re looking for a new video management  ,New York,0,0,NaN
Nobi0198,2019-11-04 18:06:27,"Oh look, Imran Khan is equipping the next generation of poor people with almost free University education. ","Kotli Azad Kashmir , Pakistan",48,0,NaN
cturner291,2019-11-04 18:06:08,"In his own words:  "" At North Carolina Agricultural and Technical State University, we are responding to opportu ",NaN,3,0,NaN
naatcoor,2019-11-04 18:05:44,Extremely blessed to announce that I will be continuing my education and baseball career at the University Of Mary Har ,"Austin, TX  ",23,0,NaN
RichKelsey,2019-11-04 18:05:39,    Everyone should be reading  Serfs and Lord's...to understand ,Ashburn Virginia,1,0,NaN
BobC7000,2019-11-04 18:04:53,         ,NaN,0,0,1191415191562588169
SpiresCollege,2019-11-04 18:04:39,Are you a ; ; Student applying to uni next year?;   Parent worried about the cost of uni?;  Teacher looking for new wa ,"Torquay, England",3,0,NaN
edufidaqa,2019-11-04 18:04:20,The third meeting of the Advisory Council at An-Najah University ;as a representative of teachers attended the meet  ,state of Palestine ,0,0,NaN
OuraniaVarsou,2019-11-04 18:04:16, | We are thrilled to have been announced as one of the  International  award for Best Practice winners in the Edu ,"Glasgow, Scotland",7,0,NaN
MikeRam41866752,2019-11-04 18:03:54,Extremely blessed to announce that I will be continuing my education and baseball career at the University Of Mary Har ,NaN,23,0,NaN
aiqsunny23,2019-11-04 18:03:51,"Oh look, Imran Khan is equipping the next generation of poor people with almost free University education. ",Pakistan,48,0,NaN
umn_RampUp,2019-11-04 18:03:44,"   Thanks, .  will continue to help all students be prepare  ","Minneapolis, MN",0,1,1190979773813665792
TEPCECSixthForm,2019-11-04 18:03:16,Are you a ; ; Student applying to uni next year?;   Parent worried about the cost of uni?;  Teacher looking for new wa ,"Ellesmere Port, England",3,0,NaN
southjoseph,2019-11-04 18:03:15,"""I don't believe that education should continue to be compartmentalized... that's not the way the real world works, but it's th ","Washington, DC",2,0,NaN
TomVargheseJr,2019-11-04 18:03:07,The Huntsman family receives a standing ovation from a packed house as they announce $150 million gift to    and ,"Salt Lake City, UT",2,0,NaN
HigherEdActuary,2019-11-04 18:03:01, Free university education would be good too - asking for a friend.....;;#benefitsforthemiddleclasses,Leeds,0,0,1191271294072971264
RaleighGOP,2019-11-04 18:02:57,Great article by A&amp;T University Chancellor Harold Martin about how the Piedmont Triad is poised for economic growth and j ,"Raleigh, NC",1,0,NaN
mjcraw,2019-11-04 18:02:34,"""I don't believe that education should continue to be compartmentalized... that's not the way the real world works,  ","Metro Detroit, USA",2,3,NaN
Patriotic_Views,2019-11-04 18:02:29,"Oh look, Imran Khan is equipping the next generation of poor people with almost free University education. ","Al Khobar, Saudi Arabia",48,0,NaN
bitraka,2019-11-04 18:02:23,Blockchain beyond Cryptocurrencies: Application in the Field of learning &amp; Development. Blockchain in Education - Open Source U ,Sevilla,0,0,NaN
PaykamianJCP,2019-11-04 18:02:11,A Quillen College of Medicine graduate and former local physician died in a plane crash in Kentucky on Thursday nig  ,"Johnson City, TN",1,0,NaN
DEICOJyU,2019-11-04 18:01:36,"Master Programme in Development, Education and International Cooperation at University of Jyv skyl , Finland. Info  ","Jyv skyl , Finland",0,0,NaN
SANESA,2019-11-04 18:00:54,"It's difficult to comprehend how a police department could perform in such a shoddy, and eventually lethal, manner.  ","Minneapolis, MN + cyberspace",0,0,NaN
Shan03933140,2019-11-04 18:00:51,   This guy got a degree from Osmania University. This is a fraud university in Andhra Pr ,NaN,25,0,NaN
UofUHealth,2019-11-04 18:00:32,The Huntsman family receives a standing ovation from a packed house as they announce $150 million gift to    and ,"Salt Lake City, UT",2,0,NaN
COCathain,2019-11-04 18:00:30,Proud to read that  is top Institute of Technology for 2020 as per Sunday Times today. Well done to  an ,NaN,4,0,NaN
hardersson,2019-11-04 18:00:25,"1.) Starts with facts.;Q: age? ;- 26 ;Q: you live in?;- kingston, london;Q: family?;- sister, parents and gf;Q: edu  ",cfcw + wob,0,2,1191414910791630849
Sondsajohn,2019-11-04 18:00:25,Free Education University - Is a 17 course curriculum that teaches you how to find the right financial opportunitie  ,USA,0,0,NaN
NPU,2019-11-04 18:00:17,"President Mary Surridge featured in  ""purposefully pursuing the overall strategic priorities for the uni  ",Chicago,0,0,NaN
fayyaz_fayaz,2019-11-04 18:00:12,"Oh look, Imran Khan is equipping the next generation of poor people with almost free University education. ","Qatar, 25.327331,51.351646",48,0,NaN
THEworldunirank,2019-11-04 18:00:01,"We'll be launching 2020 editions of our social sciences, business and economics, law and education subject rankings  ",Worldwide,1,0,NaN
JayMan471,2019-11-04 18:00:00,"There is no college education worth $100,000 per year. Absolutely not.  ",NaN,16,0,NaN
EduEstWales,2019-11-04 17:59:21,"Congratulations to The Active Office (SPECIFIC Innovation and Knowledge Centre, Swansea University) - Winner of the  ","Wales, United Kingdom",0,1,NaN
BenDoverDotard,2019-11-04 17:59:10,Shame on  and  for allowing the  to continue to operate and party merely one ye  ,NaN,0,0,NaN
MimiTexasAngel,2019-11-04 17:58:55,A  student died after a Texas Cowboys retreat where recruits were hazed. The univ let the student org operate wi ,Planet Earth,26,0,NaN
AlyssaMGoard,2019-11-04 17:58:09,A  student died after a Texas Cowboys retreat where recruits were hazed. The univ let the student org operate wi ,"Austin, TX",26,0,NaN
Christo_HST,2019-11-04 17:58:02,It seems like universities turn to OPMs in order to benefit from their expertise but if online learning is fundamental to ,"Huddersfield, England",2,0,NaN
Nosheen11892574,2019-11-04 17:58:00,A great many students have had to quit education or leave their desired field of study just b/c they can t afford universi ,"Rawalpindi, Pakistan",116,0,NaN
PersianaJune,2019-11-04 17:57:46,Very serious levels of exploitation are hard-baked into university ecology   most intolerable for outsourced workers &amp; ,NaN,27,0,NaN
Genesisssedillo,2019-11-04 17:57:41,Extremely blessed to announce that I will be continuing my education and baseball career at the University Of Mary Har ,NaN,23,0,NaN
kzsoltd,2019-11-04 17:57:30," the question becomes: Are we prepared to risk our fourth largest export earner, $5b and 50, ","Ontario, Canada",6,0,NaN
8phunkKhalid,2019-11-04 17:57:04,"Oh look, Imran Khan is equipping the next generation of poor people with almost free University education. ",NaN,48,0,NaN
rafmarchetti,2019-11-04 17:56:17," Social science are evolving, but what direction are they leading us in? We need to drive this change, dealing with new globa ",Prof International Affairs,2,0,NaN
tatyanaaaaax,2019-11-04 17:55:22,i ll never understand people who put down others for going to an university of their choice. An education is an education ,Da Cribbbbb,1,0,NaN
sisinife,2019-11-04 17:55:07,admin officer;;Location: Abuja;;0-2 years. He/she must be very conversant with the use of social media;;Education: A unive ,"Ikeja, Nigeria",164,0,NaN
CherokeeLedger,2019-11-04 17:55:04,Reinhardt University s Bachelor of Science in Nursing now is accredited by the Commission on Collegiate Nursing Edu  ,"Cherokee County, GA",0,1,NaN
CherokeeTribune,2019-11-04 17:55:04,Reinhardt University s Bachelor of Science in Nursing now is accredited by the Commission on Collegiate Nursing Edu  ,"Canton, Georgia",0,0,NaN
JonHardister,2019-11-04 17:54:42,Great article by A&amp;T University Chancellor Harold Martin about how the Piedmont Triad is poised for economic growth  ,"Greensboro, NC",1,1,NaN
cathrynortizz,2019-11-04 17:54:36,Extremely blessed to announce that I will be continuing my education and baseball career at the University Of Mary Har ,"Pflugerville, TX",23,0,NaN
Portland_State,2019-11-04 17:54:20,"Happy 50th anniversary to University Honors College! Started with fewer than 30 students,  has transforme  ","Portland, Oregon",1,12,NaN
Onebabybuffalo,2019-11-04 17:54:04,"Oh look, Imran Khan is equipping the next generation of poor people with almost free University education. ","New York, NY",48,0,NaN
databytz,2019-11-04 17:53:52,  An educated society is a benefit so paying for state sponsored university education is good. Many ,IE.NI.UK,1,0,NaN
EverMama8,2019-11-04 17:53:23,Embry-Riddle gets accreditation warning for shortened programs ,NaN,3,0,NaN
ihuoma_okpara,2019-11-04 17:52:55,"1. Shell Nursery and Primary School, Port-Harcourt.;;2. Queen's Choice, Ikotun, Lagos. ;;3. Estaport Nursery and Pr  ",Nigeria,1,0,NaN
FamilyBlending,2019-11-04 17:52:32,Center for Child and Family Development at the University of San Francisco School of Education Kicks Off Social Jus  ,"Point Roberts, WA",0,0,NaN
jenbamo,2019-11-04 17:52:11,  NEW: We haven't posted a job in Connecticut for some time!;; #Esports Coordinator   Student Life; Post University (@ ,"Queens, NY",3,0,NaN
IIITfriends,2019-11-04 17:52:09,"Join IIIT at American University on Tuesday, November 19, 2019 from 5:30pm-7:00pm for ITEP's monthly Global  ","Herndon, VA",0,0,NaN
javedhashmi6,2019-11-04 17:52:04,"Oh look, Imran Khan is equipping the next generation of poor people with almost free University education. ","Islamabad, Pakistan ",48,0,NaN
BrownEdwards,2019-11-04 17:52:01,Three higher-education associations are encouraging college and university leaders to embrace analytics as a way to  ,"Roanoke, VA",0,0,NaN
kevsav50,2019-11-04 17:51:55,   And even when you do it s a negligible increase. Especially considering free univ ,NaN,3,0,NaN
SpeirsWendy,2019-11-04 17:51:48,Conservative cuts to OSAP mean fewer students will graduate from our programs.;;We need to broaden access to post-secondar ,NaN,21,0,NaN
DailyTucsonan,2019-11-04 17:51:46,Embry-Riddle gets accreditation warning for shortened programs ,NaN,3,0,NaN
Hodali77,2019-11-04 17:51:40,Medical students from the University of Rwanda who were set to miss their graduation this Friday have been cleared to g ,Rwanda,20,0,NaN
pilars__,2019-11-04 17:50:59,Extremely blessed to announce that I will be continuing my education and baseball career at the University Of Mary Har ,"Texas, USA",23,0,NaN
aamandashepherd,2019-11-04 17:50:21,"THREAD: For months, I ve been reporting for this article  requesting records, interviewing former staff + talking to s ",slc,154,0,NaN
BiliteracySeal,2019-11-04 17:50:09,"Dr. Sarah Straub started Bilingual Education Student Organization at Stephen F. Austin State University, Texas. BES  ",Los Angeles  CA,0,1,NaN
marilynboner,2019-11-04 17:50:09,"From what I gather, here s what the  going non-profit means:;1. You can make tax-deductible donation here: ","Salt Lake City, Utah",13,0,NaN
17cajuns,2019-11-04 17:50:06,Support the school that you attend.  Support the school that you pay money toward to get an education.  Support the un ,NaN,6,0,NaN
kinsan02,2019-11-04 17:49:25,admin officer;;Location: Abuja;;0-2 years. He/she must be very conversant with the use of social media;;Education: A unive ,"Abuja, Nigeria",164,0,NaN
Mohd_Waleed,2019-11-04 17:49:18,"Oh look, Imran Khan is equipping the next generation of poor people with almost free University education. ","Lahore, Pakistan.",48,0,NaN
AhsanUl234,2019-11-04 17:49:11,"Oh look, Imran Khan is equipping the next generation of poor people with almost free University education. ","Multan, Pakistan",48,0,NaN
t4esunflower,2019-11-04 17:49:00,". Hi, Mary Jo I hope you are well. I am a university student (I am studying to be a teacher) and I have a q  ",NaN,0,0,NaN
bjfr,2019-11-04 17:48:56,Come playtest new resources and simulations for teacher education and professional development! The next  p  ,"Arlington, MA",1,3,NaN
leahsalinas9,2019-11-04 17:48:29,Extremely blessed to announce that I will be continuing my education and baseball career at the University Of Mary Har ,NaN,23,0,NaN
STR2out,2019-11-04 17:47:48,Other univs are getting stricter abt hazing -- freezing all Greek Life after even the whiff of bad behavior by frats. ;Me ,United States,2,0,NaN
K1w127,2019-11-04 17:47:37,So the academic policy of  is apparently their [foreign student] trade policy.;; h ,"Christchurch, New Zealand",2,0,NaN
NicolasJSimard,2019-11-04 17:47:27,Great discussion today with  and international partners on quality education in the #DRC through the  ,Kinshasa,2,11,NaN
azcentral,2019-11-04 17:47:03,Embry-Riddle gets accreditation warning for shortened programs ,"Phoenix, AZ",3,0,NaN
FoodAsPoetry,2019-11-04 17:46:24,you consider that my education was free/public and I went to University to be Phi Beta Kappa in Psychology/Sociolog  ,NaN,0,0,1191411385017593858
ManSlayn,2019-11-04 17:45:34, Oh completely agreed on the insane costs of higher education in North America.  I just hoped Canada was b  ,NaN,0,0,1191406784818364416
whenpigsflyyy,2019-11-04 17:45:30,"From what I gather, here s what the  going non-profit means:;1. You can make tax-deductible donation here: ","Native Texan  (oh, the shame!)",13,0,NaN
James_Barragan,2019-11-04 17:45:29,Other univs are getting stricter abt hazing -- freezing all Greek Life after even the whiff of bad behavior by frats. ;Me ,"Austin, TX",2,0,NaN
James_Barragan,2019-11-04 17:45:27,A  student died after a Texas Cowboys retreat where recruits were hazed. The univ let the student org operate wi ,"Austin, TX",26,0,NaN
QBunker,2019-11-04 17:45:23,"THREAD: For months, I ve been reporting for this article  requesting records, interviewing former staff + talking to s ","Orem, UT",154,0,NaN
Camswr_73js,2019-11-04 17:45:14,Please  &gt;&gt; Free Education University - How to graduate DEBT FREE! Get 75% off for a limited time!  Link in Bio ,USA,0,0,NaN
NurseyShift,2019-11-04 17:45:10,Remember the hospital that I terminated from because I took a mental health day and they got salty. Welllllllllllll  ,Canada,0,10,1191410588380999681
VanitaSundaram,2019-11-04 17:45:03, 27 days deadline CFP Gender and Education. North American first     ,York,12,0,NaN
s_makholwa,2019-11-04 17:44:52,Helen Since when are quotas anti-merit?;;If the minister of education were to order racist universities such as UFS &amp; ,Azanian,23,0,NaN
ngawa_mwanza,2019-11-04 17:44:48,"Like this year, K557million kwacha has been put aside in the 2020 budget for bursaries and loan schemes to support increas ",Kitwe zambia,6,0,NaN
JessicaRingrose,2019-11-04 17:44:46, 27 days deadline CFP Gender and Education. North American first     ,j.ringrose.ac.uk,12,0,NaN
safety_refinery,2019-11-04 17:44:45,A  student died after a Texas Cowboys retreat where recruits were hazed. The univ let the student org operate wi ,A Long Tube Full of Demons,26,0,NaN
TheTwatPolice,2019-11-04 17:44:37, All that proves is how university degrees have been dumbed down. ;The working classes were not politically nai ,"Virginia Water, South East",1,0,NaN
BangaloreFrance,2019-11-04 17:44:32,"Our ambassador #france #india says so, many #alumni say so, and so we say#choosefrance #education #sciences  ",Bangalore,1,0,NaN
temsaletorg,2019-11-04 17:44:24,She has also previously served in gov as the Minister of Culture &amp; Tourism and Minister of Labor &amp; Social Affairs.  ,"Addis Abeba, Ethiopia",0,0,1191410881839738880
temsaletorg,2019-11-04 17:44:24,"Before taking up the ministerial position, she worked at Addis Ababa University at different leadership levels rang  ","Addis Abeba, Ethiopia",0,0,1191410880275197952
BasedDoomer,2019-11-04 17:43:43,"  Alberta is the most conservative Canadian province. It's the ""Texas of Canada"" and somehow,  ","St. Louis, Missouri",0,0,1191409451439415297
Dr_SteveStanley,2019-11-04 17:43:35,Very serious levels of exploitation are hard-baked into university ecology   most intolerable for outsourced workers &amp; ,"Cardiff, Wales",27,0,NaN
Veekz_valdez,2019-11-04 17:43:13,admin officer;;Location: Abuja;;0-2 years. He/she must be very conversant with the use of social media;;Education: A unive ,"Federal Capital Territory, Nig",164,0,NaN
iissno,2019-11-04 17:43:04,admin officer;;Location: Abuja;;0-2 years. He/she must be very conversant with the use of social media;;Education: A unive ,Lagos,164,0,NaN
Creighton,2019-11-04 17:43:01,"Randy Richardson, MD, regional dean at Creighton s Phoenix campus, sees a bright future for medical education thank  ","Omaha, NE",0,6,NaN
maggoo0,2019-11-04 17:42:57,`bbcnews My answer to our shortage of doctors.Suitable applicants willing to agree to work with the NHS for a presc  ,A little house in the outback.,0,0,NaN
Djjmays,2019-11-04 17:42:50,Extremely blessed to announce that I will be continuing my education and baseball career at the University Of Mary Har ,"Pflugerville, TX",23,0,NaN
Complexchange1,2019-11-04 17:42:27,Very serious levels of exploitation are hard-baked into university ecology   most intolerable for outsourced workers &amp; ,the critical zone,27,0,NaN
InnocentMbethe,2019-11-04 17:41:52,"Thato Mochone on LinkedIn: ;On 14 October, graduated from London South Bank University with Masters of Science with Merit-Ed ","Johannesburg, South Africa",1,0,NaN
martins_ene,2019-11-04 17:40:45,admin officer;;Location: Abuja;;0-2 years. He/she must be very conversant with the use of social media;;Education: A unive ,"Portharcourt, Nigeria. ",164,0,NaN
Michael63956307,2019-11-04 17:40:33,   This guy got a degree from Osmania University. This is a fraud university in Andhra Pr ,"Seattle, WA",25,0,NaN
zoie_cailin,2019-11-04 17:40:27,Extremely blessed to announce that I will be continuing my education and baseball career at the University Of Mary Har ,atx ,23,0,NaN
JBeans_15,2019-11-04 17:39:54,That Florida State University education is DIFFERENT  ,NaN,0,2,NaN
HonMushimba,2019-11-04 17:39:54,"Like this year, K557million kwacha has been put aside in the 2020 budget for bursaries and loan schemes to support  ","Lusaka, Zambia",6,73,NaN
BUSteinerSchool,2019-11-04 17:39:46,"David Welch Suggs, Jr., is an associate professor at the Grady College of Journalism and Mass Communication at the  ","Peoria, Illinois",0,1,NaN
CourtneyLTanner,2019-11-04 17:39:36,"From what I gather, here s what the  going non-profit means:;1. You can make tax-deductible donation here: ","Utah, USA",13,0,NaN
AdnanKhurram,2019-11-04 17:39:20,"Oh look, Imran Khan is equipping the next generation of poor people with almost free University education. ",NaN,48,0,NaN
BillyWhittern,2019-11-04 17:39:18,"From Cradle to Grave/2;Declared missing in action in October 1916 during the Battle of the Somme, Leigh was renowned as ","Oxford, England",7,0,NaN
Mahnn_Dee,2019-11-04 17:39:14,admin officer;;Location: Abuja;;0-2 years. He/she must be very conversant with the use of social media;;Education: A unive ,NaN,164,0,NaN
BachaJamoora,2019-11-04 17:39:07,"A student at Bolan Medical University suspended for 8 months because he entered office of registrar without permission, af ",NaN,80,0,NaN
StylezGtDaJuice,2019-11-04 17:39:04,  NEW: We haven't posted a job in Connecticut for some time!;; #Esports Coordinator   Student Life; Post University (@ ,"Detroit, MI",3,0,NaN
kamranshabbirks,2019-11-04 17:38:52,A great many students have had to quit education or leave their desired field of study just b/c they can t afford universi ,"Karachi, Pakistan",116,0,NaN
DorisMaisonneuv,2019-11-04 17:38:41,   Always surprised by how many people choose to remain ignorant.  So much more t  ,"Alberta, Canada",0,0,1191409182261567489
