User Name,Time,Tweet,User Location,Retweeted Count,Favorited Count,Replied
HaiydiB,2019-11-04 20:53:26,"Mr. HUBE LEITENBAUER #HubertLeitenbauer, #Snapshot;Founder &amp; Author #PranaEnergieTherapie ;Designer luxury#Spiritu ",NaN,119,0,NaN
tmj_fay_edu,2019-11-04 20:53:19,"Can you recommend anyone for this #Education job in #Fayetteville, NC? Click the link in our bio to see it and more  ","Fayetteville, NC",0,0,NaN
imacommit,2019-11-04 20:52:59,"  I don t like doing this, but I m desperate, I am a full time student at Louisiana Tech University. I re  ","Ruston, LA",0,2,NaN
franmary,2019-11-04 20:52:52,University faces legal threats from students of color who demand university stop using the SAT and ACT because their scores ' ,NaN,24,0,NaN
haleshannon,2019-11-04 20:52:46,How the University of Utah s police department treated female victims and officers for years before Lauren McCluske  ,Utah,3,4,NaN
LawScribes,2019-11-04 20:52:46,High school students watching the supreme court Canada live in the classroom. #scc #education ,Guelph Toronto Canada Scotland,0,0,NaN
l_eggemann,2019-11-04 20:52:39,University faces legal threats from students of color who demand university stop using the SAT and ACT because their scores ' ,United States,24,0,NaN
OrenIShiKiddo,2019-11-04 20:52:30,University faces legal threats from students of color who demand university stop using the SAT and ACT because their scores ' ,Masshole,24,0,NaN
sewuesebumkengs,2019-11-04 20:52:25,admin officer;;Location: Abuja;;0-2 years. He/she must be very conversant with the use of social media;;Education: A unive ,"Makurdi, Nigeria",164,0,NaN
Snaproll381,2019-11-04 20:52:25,University faces legal threats from students of color who demand university stop using the SAT and ACT because their scores ' ,"Virginia, USA",24,0,NaN
wdelfs,2019-11-04 20:51:17,        ,NaN,0,0,1191456696893394944
gole_sam,2019-11-04 20:51:16,"More FACT: in 2018, 1381 of PERM (Green Card) applicants obtained degrees from this BLACKLISTED UNIVERSITY. Guess they ",NaN,3,0,NaN
MIDWESTSPEEDSC,2019-11-04 20:51:05,Congrats to Midwest Speed 18U Black s Lexi Barduson on her verbal commitment to continue her education and softball  ,NaN,0,0,NaN
ScottDPierce,2019-11-04 20:50:39,"THREAD: For months, I ve been reporting for this article  requesting records, interviewing former staff + talking to s ","Salt Lake City, Utah",154,0,NaN
CYZAyuba,2019-11-04 20:50:22,admin officer;;Location: Abuja;;0-2 years. He/she must be very conversant with the use of social media;;Education: A unive ,"Abuja, Nigeria",164,0,NaN
parallelfox,2019-11-04 20:49:56,A  student died after a Texas Cowboys retreat where recruits were hazed. The univ let the student org operate wi ,"Texas, USA",26,0,NaN
robbiekath,2019-11-04 20:49:55,A blast from the past.  20 years ago last month  re-named its College of Education building as  Rob  ,"St. Catharines, Ontario",0,10,NaN
pttleopardcats,2019-11-04 20:49:50,"More FACT: in 2018, 1381 of PERM (Green Card) applicants obtained degrees from this BLACKLISTED UNIVERSITY. Guess they ",NaN,3,0,NaN
ContAdultEd,2019-11-04 20:49:49,THIS WEEK IN ADULT EDUCATION;Mon   Early Registration begins;Tues   Sit and Stretch Sabrina ;Wed -Improv fun and games ,Mississauga & Brampton,1,0,NaN
DC_Strategies,2019-11-04 20:49:47,How do we best help students who are several grade levels behind? It s vital question. But the very fact that it s a p ,"Denver, CO",1,0,NaN
pttleopardcats,2019-11-04 20:49:41,"More FACT: in 2018, 1381 of PERM (Green Card) applicants obtained degrees from this BLACKLISTED UNIVERSITY. Guess t  ",NaN,3,3,NaN
MahaAlMadhi,2019-11-04 20:49:31,"At Effat, we promise to work together to promote our students  education and to share our resources with researchers a ","Jeddah, Kingdom of Saudi Arabia",2,0,NaN
jockie_c,2019-11-04 20:49:24," In Denmark University students are paid $1000 a month and there are no fee's, totally subsidised. They co  ","New South Wales, Australia",0,0,1191244451777146881
SafariWoman,2019-11-04 20:49:06,University faces legal threats from students of color who demand university stop using the SAT and ACT because their scores ' ,NOYB,24,0,NaN
Women_N_STEM,2019-11-04 20:49:04,World's First #AI University Has More Than 3200 Applicants Already   #education ,Everywhere,10,0,NaN
shesmegg82,2019-11-04 20:48:56,   Here's another option seeing as Canada is the most environmentally r  ,NaN,0,0,1191455693502664706
JoeySoetoro,2019-11-04 20:48:37,University faces legal threats from students of color who demand university stop using the SAT and ACT because their scores ' ,"St Paul, MN",24,0,NaN
__Ajal,2019-11-04 20:48:31,"At Effat, we promise to work together to promote our students  education and to share our resources with researchers a ","Jeddah, Kingdom of Saudi Arabia",2,0,NaN
justjohnPatriot,2019-11-04 20:48:29,University faces legal threats from students of color who demand university stop using the SAT and ACT because their scores ' ,Driver 2.6 Mil mi in 47 States,24,0,NaN
Airbornex82nd,2019-11-04 20:48:15,University faces legal threats from students of color who demand university stop using the SAT and ACT because their scores ' ,"In the Woods ,Upstate NY",24,0,NaN
EinsteinsAttic,2019-11-04 20:48:15,"Instead, we get stuff like a US private equity billionaire chucking  150m at a top UK university to do yet more ""AI  ",UK,0,0,NaN
PatriciaWilhoit,2019-11-04 20:47:58,University faces legal threats from students of color who demand university stop using the SAT and ACT because their scores ' ,"Texas, USA",24,0,NaN
GreenMo64438081,2019-11-04 20:47:53,Nov 4th: 15th day of Saha Mortezai's sit-in at university campus in protest to being denied #PhD enrolment because of her ,NaN,5,0,NaN
BabatundeR7,2019-11-04 20:47:51,admin officer;;Location: Abuja;;0-2 years. He/she must be very conversant with the use of social media;;Education: A unive ,NaN,164,0,NaN
Skills_Canada,2019-11-04 20:47:31,Happy National Skilled Trades and Technology Week! We are excited for this big week of events and education. Take a peak at ,"Ottawa, Ontario",4,0,NaN
