Word,Frequency,Nature
gold,2,postitive
jealous,4,negative
trouble,2,negative
reliable,1,postitive
condemn,4,negative
crime,4,negative
excellency,1,postitive
doomed,2,negative
ignore,1,negative
rape,1,negative
sues,1,negative
defamation,1,negative
beautiful,2,postitive
messy,1,negative
protested,4,negative
shunned,4,negative
blow,1,negative
burn,2,negative
loves,6,postitive
cold,2,negative
felon,1,negative
fake,3,negative
gossip,1,negative
beloved,1,postitive
expropriation,1,negative
dispute,1,negative
mess,1,negative
disrespect,3,negative
gain,1,postitive
compassion,1,postitive
fresh,1,postitive
protests,6,negative
tainted,3,negative
nonsense,2,negative
recommended,1,postitive
depression,1,negative
opponent,1,negative
angry,3,negative
breakdown,4,negative
death,2,negative
fantastic,4,postitive
enjoy,1,postitive
improving,1,postitive
accessible,1,postitive
grand,1,postitive
useful,1,postitive
legendary,1,postitive
hang,2,negative
emergency,2,negative
hates,1,negative
fail,1,negative
threat,1,negative
crumbling,2,negative
cloud,1,negative
stigma,1,negative
steal,1,negative
confused,2,negative
engaging,1,postitive
accomplished,1,postitive
offensive,1,negative
outstanding,2,postitive
guilty,3,negative
sick,2,negative
desperate,1,negative
recession,2,negative
life-threatening,1,negative
discouraging,3,negative
costly,3,negative
slowly,2,negative
denying,4,negative
propaganda,1,negative
silent,1,postitive
affordable,1,postitive
dust,1,negative
alienation,1,negative
scarier,1,negative
sneak,1,negative
works,3,postitive
qualify,1,postitive
safe,1,postitive
bullshit,1,negative
prosperous,1,postitive
inane,1,negative
hung,3,negative
alarm,1,negative
sweet,5,postitive
fav,1,postitive
pain,1,negative
dedicated,1,postitive
defeated,1,postitive
holy,1,postitive
extremism,1,negative
impressive,1,postitive
corrosive,5,negative
severe,1,negative
insinuating,1,negative
abolish,1,negative
breaking,3,negative
courage,2,postitive
damn,2,negative
critical,3,negative
tired,2,negative
disgusting,2,negative
broken,2,negative
disagrees,2,negative
complaint,2,negative
bloody,1,negative
invasive,1,negative
brave,3,postitive
lacking,3,negative
proper,3,postitive
depressed,2,negative
warmth,1,postitive
heck,1,negative
pathetic,1,negative
breeze,1,postitive
pride,1,postitive
stuck,1,negative
glorious,1,postitive
pure,1,postitive
leverage,1,postitive
hell,1,negative
admirable,2,postitive
kill,1,negative
toxic,1,negative
resignation,2,negative
killing,3,negative
unable,1,negative
controversy,1,negative
successfully,1,postitive
supremacy,1,postitive
insecurity,1,negative
healthy,1,postitive
tank,1,negative
positive,1,postitive
freed,1,postitive
radical,1,negative
worrying,1,negative
wrought,1,negative
harm,1,negative
enjoying,1,postitive
negative,1,negative
rough,1,negative
honest,1,postitive
thrilling,1,postitive
midget,2,negative
din,1,negative
fond,2,postitive
